ID	Tags	Text
X0yaivQtEFJm80zaGy-GlQ	Madison_WI WI Chinese Restaurants 5_star	Hands down my favorite place for Chinese food in Madison. Consistency is key for me and IG is always consistent. The pace is slower than some restaurants, but it's worth the extra time. We eat here at least 4-5 times a year and it's always a great night with great service. Cashew Chicken, egg roll, shrimp rangoon and a glass of wine = LOVE!
xNTf99Ezm9k0R4cVBTFmCA	Madison_WI WI Chinese Restaurants 5_star	Good food, good service and clean. I had the cashew chicken, my wife had the general tsao's chicken and my son had chicken fried rice. All were very good. My only complaint, and it is very minor, is that the chairs have wheels. It is very easy to scoot yourself around unexpectedly. I will definitely return the next time I am in Madison.
ZfbF_tBNRzRwnX4bpuHtGQ	Madison_WI WI Chinese Restaurants 5_star	I really don't know what happened with all of the negative reviewers. We've been coming to Imperial Garden since 1997. We've tried other places, but this place is easily the best for Chinese food anywhere in the area. Chicken & Broccoli, Beef Lo-mein, Stir fried rice noodles, steamed pot stickers, & the chicken egg foo young are all great! General Tso's is good too. Staff is very friendly, many have been working there for 10+ years, and we are remembered when we come in- a nice touch. We've been to the westside location as well. Good, but not as good as East, if you ask me. If you don't believe me, take a look at the wall in the lobby. They've won best in Madison nearly every year since 1987! How many restaurants around now can say the same thing??
hHRl3EgOJyLNVX1NVXTChg	Madison_WI WI Chinese Restaurants 5_star	My husband and I returned to Imperial Garden for dinner with our children. We were there on a Friday night. There was a bit of a wait (about 20 min), but nothing out of the ordinary for a Friday night around 5:30 pm. We had another great experience. We found IG family friendly and able to accommodate our two children without disturbing any other guests. Our five year old loved the experience and the food as well. And as parents know, if your children are happy, you are happy. We ordered the (very affordable I might add) lo mein for our daughter. It was good and there were plenty of leftovers between the lo mein and the two entrees we ordered.
KTzVU_HAMBgwiIfiZw6C5Q	Madison_WI WI Chinese Restaurants 5_star	Try the shrimp egg foo young. It is the best ever. The shrimp fried rice is great, good with vegetables. Don't forget the bar. A lot of people like to stop in. The bartender is friendly, just like the show Cheers. You can order and eat at the bar if you want. The manager Rose is elegant and full of laughter. No worries at this place.
UwRCKuL7rnwV4biD7qYAig	Madison_WI WI Chinese Restaurants 5_star	Best Chinese food in Midwest. I'm from the San Francisco Bay Area, and the quality here matches any Chinese restaurant back home!
ra_oKruGk7ySlejjY-Hx7A	Madison_WI WI Chinese Restaurants 5_star	This place gets top marks from me. The food was delicious and prices are very favorable. The service was very polite and prompt. I asked to add tofu (NOT fried) to my eggplant/Thai basil dish. Normally I get arguments about not frying my tofu (I really, really don't care for fried), but not here. The chef expertly prepared my meal. The seasoning and sauce was really nice. The sauce was just the right amount. If I had to say one thing... the rice was a little sticky, but I can totally see past that because the overall meal was just great. I enjoyed the left overs the next day.
QoAN7Wn1_rCt6GxsN8Qjog	Madison_WI WI Chinese Restaurants 5_star	Great food, . fast. We carry out from there at least once a month, sometimes more.
bbgZbFGcXdALGiILRdFH6w	Phoenix_AZ AZ Food Specialty_Food Fruits_&_Veggies Ethnic_Food 5_star	Buying a new bike can be a big decision. Buying a gimmicky electric bike could be a bad decision. Buying electronics from a produce market could be questionable decision. And lastly buying anything over $500 from a place that is located south of downtown, cash only, and offers no warranties/returns... seems to put the nail in the coffin for logical decisions. But some how myself and dozens of other logical people have had a excellent to OK experience when doing all of the above. Phoenix Produce is selling Fujiton E-Bikes straight off the boat from China. And we're not talking "Made in China" hidden in some innocuous spot; this is legitimately Chinese...from the oddly sized tires (which makes it a little difficult to find tubes for) to the Mandarin/Cantonese (not actually sure which) that fills the instrument panel and indicator lights. Phoenix Produce carries two models 36v and 48v both have max speed of 20 MPH. While they differ in range 22 miles and 30 miles, respectively, on a single charge. The motor definitely has good torque for a little electric motor...I've heard the 48v is even better than my 36v. Both plug directly into a 110V (normal) outlet. The 36v costs a little more than 3 CENTS per charge. These are bikes, so you can ride them on sidewalks or other bike designated paths. No license/registration/insurance/helmet required (legally per ARS 28-2516)...though the helmet is recommended. As for the no warranties and returns part...I can only say what I've experienced. Sam, the owner of Phoenix Produce, has been very good to me in all my dealings. I had some initial problems with the battery and charger of the bike, making the first week of ownership less than stellar. Fortunately, I talked to Sam about those issues and he corrected the problems no charge...sure seemed like a warranty; but Jenny, one of his employees, said "He is just really fair." And I have to agree. For the price you cannot beat them approximately $500 a little higher or lower depending on the model of your choice.
l3DIAANr7H0JMJ9BwzxFhw	Phoenix_AZ AZ Asian_Fusion Chinese Restaurants 5_star	Wow. I've been reading the other reviews and I'm honestly shocked. I've been coming here since it first opened and no one knew anything about it. I liked it better when it was small and unknown, but that's because I could enjoy it at my leisure. The owner would often come out and chat up the customers and the business in a house was a fairly new phenomenon. The food has been consistently tasty and fairly priced. The only thing to change over the years is the architecture and decor. I've taken all sorts of people here to eat and no one has ever disagreed that it was the best Chinese food. I have always had at least adequate service on First Fridays. The rest of the time, the service is as wonderful as the food.
szaJZfnJ060rnsXrFbzrHQ	Phoenix_AZ AZ Asian_Fusion Chinese Restaurants 5_star	I heard about this guy Sarah K. went out with on 12/12. They didn't quite click, but he sounded up my alley. We totally hit it off and had all kinds of romantic dinners and wild nights. Then we got married and made tons of babies and they all grew up to become supreme court justices. This is how I feel about Fate.
kMKcALEBS4z05DY-sCFdHA	Phoenix_AZ AZ Asian_Fusion Chinese Restaurants 5_star	I don't know what else I can say that hasn't already been said about Fate, but here goes. The food at Fate is like a warm spicy Asian orgasm on a plate. The martinis send me to another level of heaven. Johnny Chu is a genius and I will cry if he ever leaves Phoenix. I think that about covers it.
bkRJnvnBuqsiAoaQA-cwYA	Phoenix_AZ AZ Asian_Fusion Chinese Restaurants 5_star	I was actually pretty shocked to see any negative reviews for Fate on here. The whole bun scenario listed a few reviews down sounds like a fiasco, but thankfully i've never had a negative experience there, and i've been there god only knows how many times. Fate is my favorite restaurant. i discovered it late one night (well, early morning, actually) after helping a friend shoot a burlesque show downtown. I was amazed that they were open that late (I think it was one...maybe two A.M.?). He insisted that I'd be amazed, and I was. I have had to wait a few times to get in, but usually that was because it was First Friday. It's understandable, because it's a small place (like most of the places downtown), and it's pretty popular. Besides, you can always call ahead and make a reservation if you don't want to wait. It's not a big deal. The service the first time and each subsequent visit was excellent, and the food was brought out ridiculously fast. The crab puffs are to die for, and I honestly have trouble narrowing down which martini is the best. The pad thai martini is just amazingly weird enough to be good, but the spicy cucumber is out of this world. I've tried a number of dishes, but I always come back to the spicy Saigon with shrimp. I'm glad I don't live nearby, or I'd go there all the time. This way it's always a treat when I go.
5VSL_KgPmidNaDmW82b3PA	Phoenix_AZ AZ Asian_Fusion Chinese Restaurants 5_star	I love Fate! LOVE it. I love Fate so much, sometimes I want to take it behind the school and get it pregnant! Their green tea milk is AMAZING. I go cuckoo for it. For reals! Their little mushrooms are so good too. Oh my god, they are like little mini mushrooms. If keebler elf's, harvested mushrooms, these would be it! So good! If it's your first time, trust me: get the crab puffs, grab yourself a cool refreshing hulk-alishist Green Tea Milk, and go for the Hong Kong flat noodles. So good! And what about those little wafer cookies they give you at the end? They are like air! But better! (...they have calories...maybe they are not like air...but in a perfect world? Like Air!)
fQ_QFNfPS5heqAXzCGgEyg	Phoenix_AZ AZ Asian_Fusion Chinese Restaurants 5_star	This is by far my favorite restaurant ever. I have been coming to Fate for about five years now and never ONCE have I been disappointed with the food or the atmosphere. We are normally pretty lucky and we get Heather who is SUPER sweet and a great waitress. I see reviews about people complaining about the hostess. Yeah, they can be snobby and make life difficult but it is SO worth it. I would 100% recommend the hot and sour soup. It is amazing. Unfortunately I recently found out it has SHRIMP POWDER so I cannot eat it any more. Another tasty veggie friendly appetizer is the tofu wedges. They come with an amazing peanut sauce. I have had several entrees, but always come back to the Hong Kong Flat Rice with fried tofu. It is so amazing. Garlicy sauce. They have really amazing yellow curry too. They might put brown sugar in it because it is a little sweet, but perfectly so. The portions are always great, and you honestly CANNOT beat the atmosphere. It is an old house in the historic district turned restaurant and they display artwork from local artists. Stay away during artwalk though, or you will have to wait forever for a table. They are open really late on the weekends too. At least give Fate a shot once. If you don't like it I will let you punch me in the gut.
JWthvREX3d3X9OhjbhVKiA	Phoenix_AZ AZ Asian_Fusion Chinese Restaurants 5_star	I must say Fate was the only positive thing I gained from an otherwise awful date. The food was fantastic. I had the green chicken curry. It had the perfect mixture of spices and it was not too spicy for a curry dish. I wasn't expecting the curry sauce to be creamy. The sauce had a light green split pee hue, but despite the odd color the flavor was amazing. The meals were fairly priced. I believe my dinner was around the same price as my first drink...$10.00-$12.00. I enjoyed the artistic ambiance. The staff was polite and our food and drinks were delivered to us promptly. I have read other reviews about the hostess's being rude...luckily I haven't experienced that. Even if I had e negative staff experience I would still recommend Fate for the food alone.
pc_FaGliHaxRwzCjWdc5bw	Phoenix_AZ AZ Chinese Restaurants 5_star	Love it. Hole-in-the-wall with Peking duck on demand. Try the greens and the snapper sauteed with ginger and scallions. Great noodles, too.
85rurtJd6YKKhIXRvIQgRg	Phoenix_AZ AZ Chinese Restaurants 5_star	I crave this place, I dream of their Peking Duck. Better than sex, well maybe not better, but a close runner up. Went here with J.W. and a number of other friends for my birthday; great fun, fantastic food! Don't let the hoody decor scare you off, experience the Gourmet House!
7TtLOfJz0bmrg3j5G-sWCA	Phoenix_AZ AZ Chinese Restaurants 5_star	This great family run restaurant is a fantastic restaurant-- authentic Chinese, served at bargain prices. The decor sucks, the lights are fluorescent, and there is a huge bill board in the parking lot. BUT, if you can look past some of its physical failings, the food is fantastic. Always dependable, always tasty. The menu is HUGE...
ab_YKDmdSsXnYM0MTX9v8g	Phoenix_AZ AZ Chinese Restaurants 5_star	Having lived in the neighborhood for eight years, I can't say much other than: variety, reliable, authentic. But what I'm really compelled to tell you all about is... They now serve Thai! In addition to their already huge menu! The Chicken Pad Thai is arguably the best I've ever had (I've had it in New York and San Francisco). Its crazy how good it is... I had to have it two days in a row to confirm. I've had the green curry and that was yummy - fresh veggies in everything, crispy and plentiful. IMHO, their decor rocks! I love the cheesy waterfall in the front, the chairs with coffee cup designs and giant turntable-centered family-sized tables. The green walls are an upgrade from the pink and blue that was there before. Go to Fate if you want to sit in faux-modern Ikea surroundings. This place is classic Mc Do Well
buE-dL4Pl_MWYZ-HhBpc3A	Phoenix_AZ AZ Chinese Restaurants 5_star	Adam M. was absolutely right: The Chinese Broccoli in Garlic Sauce and the Mixed Seafood Hot Pot (Casserole) are really, really amazing! I've also become a big fan of the Tomato Sauce Shrimp - tastes nothing like what you're thinking. Eat these items we recommend or be seriously disappointed trying the chinese staples you've become brainwashed into enjoying elsewhere.
8w_FyfEzIkbczZj5ova0dw	Phoenix_AZ AZ Chinese Restaurants 5_star	Great authentic Hong Kong food. I don't like all of the food they serve, but the stuff I order is the exceptional. This is one of those "hole in the wall" places with great food. I highly recommend the Chow Fun, the Hunan Beef, ginger and green onion snapper (fried)... This is one of my favorite spots.
AI7I-W_BiHLYuLScoNYLyg	Phoenix_AZ AZ Chinese Restaurants 5_star	I would like to make my rating based on three things: Food quality, customer service and consistency. I've tried MANY asian food establishments here in the valley since moving here three years ago and this is by far the best I've had! I usually order To Go and my food is always ready before I get there and am greeted with a kind hello and an appreciative smile (how nice!). I've ordered from them many times and have been impressed everytime. Thank you for the great food!!
XLdbHY5j0KAbiUOkLsqApQ	Phoenix_AZ AZ Chinese Restaurants 5_star	I really don't understand all the complaints about this place. I've been going here for years, and the food has always been solid, cheap, quick and really tasty. The menu is huge, and I have no complaints about the service or cleanliness of the place, either. I usually get the fried tofu with garlic sauce. It's transcendent. Crispy, delicious triangles of fried tofu and a fantastic mushroom-garlic-onion sauce with some brown rice....I have dreams about it. If I have the cash, I'll get some spring rolls with spicy mustard, which are a hot, crispy delight. Haters gonna hate, I guess. I just wish it was open all night!
E20_NPvqbHLLIZEHpUdP1w	Phoenix_AZ AZ Chinese Restaurants 5_star	I am a native New Yorker where the best Chinese food exists in almost every corner. There is no such thing as bad Chinese food in NY. I tried the chinese food here and it is EXCELLENT. Had the egg drop soup and the won ton soup. The wonton soup was off the charts. Wonderful flavorful broth with a truly meaty wonton with very light dough. Amazing. Also had the chicken with honey walnuts. I couldn't believe the amount of walnuts given as well as the lightness of the batter. We also had beef chow fun with gravy. As good as it gets. Of course the place is not upscale but I didn't go there to eat the walls, tablecloths or the booths. It's a place with delicious food and good value. The people were all very personable and polite. They answered the many questions we had since it was our first time there. We also had dessert. The darkest chocolate ice cream I have seen in a long time. Yummy. All this for under $25. Can you believe it? Get there!
sfqmuVJ3aa_UwrsPVqHoBg	Phoenix_AZ AZ Chinese Restaurants 5_star	After a few recommendations, I finally paid a visit to this restaurant. I'm glad I did because it was really great! The building isn't the nicest but the food certainly makes up for it. I ordered a few dishes for our family. The Beef Chow Fun was my favorite. This noodle dish has really great flavor. We also ordered the Mongolian beef and Chicken with Garlic sauce; both were fantastic! Our last dish that we ordered was the Green Curry with Chicken. This was also good, a little spicy and a little sweet. Overall, our meal was really good and we will definitely be coming back here again.
9pbzezGIpZeu_Yo3lwX8lw	Phoenix_AZ AZ Chinese Restaurants 5_star	I have driven 7 hours to eat here! i am Chinese and have lived in SF so I have had my fair share of Chinese food. This is the real deal. My wife and I stumbled upon this place 4 years ago. We have literally made trips to Phoenix from New Mexico for the food at GHK. Food is consistent, authentic and just damn good. Be careful, I am pretty sure the staff and chefs customizes your food. If you are non Asian and order sweet and sour pork and egg foo young, you will probably get Americanized Chinese food. Our favorites are the lobster with ginger and scallions, satay fish pan fried noodles, walnut shrimp and beef chow fun. Ask the waitress for authentic Chinese. And tell them the Fat Chinese guy from New Mexico sent you. :)
6Rf99EYHdE8mLOZFpb2HRw	Phoenix_AZ AZ Chinese Restaurants 5_star	I have been a loyal customer here for 15 years. The staff and food are great. The prices cant be beat, especially during lunch hours. A great variety of food from seafood to vegetarian to meat and poultry dishes. This is truly a Phoenix gem!!
RmyIA7Y_Wo87ULBSvv6xGw	Phoenix_AZ AZ Chinese Restaurants 5_star	I love their NOODLES! Try the Shanghai Noodles with vegetables (order it dry).
oXhv4wcEt1jpfdSE8C5TRg	Phoenix_AZ AZ Chinese Restaurants 5_star	Great authentic Hong Kong food. I don't like all of the food they serve, but the stuff I order is the exceptional. This is one of those "hole in the wall" places with great food. I highly recommend the Chow Fun, the Hunan Beef, ginger and green onion snapper (fried)... This is one of my favorite spots. Updated: We have been visiting this place once or twice a week and we are still loving it. I just added sesame chicken to the rotation and it is also amazing. We love this place.
tDvgZc-XGCINeusVyMBJ9A	Phoenix_AZ AZ Chinese Restaurants 5_star	My wife and I lived in Bangkok, Thailand for four years while on assignment for the American Embassy. While there we were exposed to all levels, including the finest, in Chinese cuisine. A few years after retiring we moved to Phoenix and, for one reason or another, have been disappointed in the quality of Chinese cuisine found here. That is, until last Sunday when we accepted a recommendation to try The Gourmet House of Hong Kong with friends. We ordered several of the soups and entrees. Prices were reasonable, service was excellent and all items were quickly served piping hot. This first experience here brought back wonderful memories of the lengthy time we spent in Asia. Items we ordered were Wonton Soup, Hot and Sour Soup, Green Curry Pork Clay Pot, Egg Rolls, Crab Puffs, Kung Pao Shrimp, Honey Walnut Shrimp, Peking Duck and Almond Chicken. All were authentic in quality and flavor and will most surely be ordered and enjoyed again as we continue to explore the restaurant's lengthy menu. This restaurant receives our best recommendation.
Mxffh4_E0874RJ5FQtc4fQ	Phoenix_AZ AZ Chinese Restaurants 5_star	I know this place got a few nasty reviews, but I think they probably went in for the lunch, which unfortunately isn't as awesome as their dinner. The dinner is consistently delicious, the egg rolls are obviously made there and not frozen. Last time we went there we got the cashew chicken (amazing) and the sweet and sour chicken (pretty good) along with egg drop soup which is great too. They don't use msg, and one of the waitresses even took the time to talk to us for a while, they're always pretty nice. It may look like a hole in the wall, but those seem to be the best places to get a good plate of Chinese food.
teBl71zKJD4n9naX90PNYw	Phoenix_AZ AZ Chinese Restaurants 5_star	Well to tell you every time I come here is amazingly awesome, never had a problem with there food or service. People just need to chill with the bad reviews. Also not just the food is great but their deserts are delicious! Mango with white rice and cream is a must try!
_KXZEj3h4fBhcJiSS4j14A	Phoenix_AZ AZ Chinese Restaurants 5_star	Great food... Had red curry chicken with rice, egg rolls, raggoons... And hot&sour soup... All but the soup was above average in taste!! The hot and sour soup has a strong vinegar taste, not a fan of.
-R7aMgkRAxMJwkw3Tp2oBw	Phoenix_AZ AZ Food Grocery 5_star	Support the Asian Invasion and shop at this place. Mad mad props to a great Asian market in an area like this. My family and I always lived in areas where there weren't many Asians around when I was growing up. We could never find what we needed for our dishes. Now I live in SF home of all Asian goodness. This place gives me hope that should I move away from SF that I will be able to find places where little Chinese girls like me can fill my food cravings for dried baby clams, fish balls, sashimi etc. This place is also way cleaner than most markets I've seen. With very reasonable prices. Great selection of everything you need from produce, meats, dried, and frozen products. Also has a deli that I swear could be in the heart of Chinatown. Love love and love. I heart asian supermarkets.
5raX8dzyQzyIIxwtx13T3w	Phoenix_AZ AZ Food Grocery 5_star	While visiting the Phoenix area, we checked out their 'Chinatown'. Small as it is, I was surprise to find a 99 Ranch Mkt. Coming from the Bay Area I wasn't at awe with the store; its typical like all other 99 Ranch I've shopped at. It received a 5 star because of its location in the Chinese Cultural Center plaza which is cool to explore.
MoMAGGNJpgnyz0PWO81KZw	Phoenix_AZ AZ Shopping_Centers Shopping Outlet_Stores Chinese Restaurants 5_star	It's unique and it's in Phoenix, for that alone it gets 5 stars. This is a fun place to kill a couple of hours with out of town visitors or on a date. Stroll through the gardens. Wander through the grocery store, (yes it stinks but it's part of the ambiance) and look a all the strange and gross foods. Try one of the restaurants, but not Quizno's that doesn't count. Check out the curio shops for some odd trinket to take home with you.
c1zu1pAORE51y-9F91ULZw	Phoenix_AZ AZ Shopping_Centers Shopping Outlet_Stores Chinese Restaurants 5_star	This place is essentially a strip mall, but offers more than the usual strip mall options. The biggest attraction is its architecture, as its designed with traditional Chinese architecture. The top floors hold office space, the bottom retail and restaurant space. Facing 44th Street is a beautiful garden. There's a large goldfish pond on the south side,with small bridges and walkways over and around it. There are numerous statues and pagodas along the south and east side of the building. It's a beautiful and relaxing addition to the city. There is a large store that sells Asian goods, namely furniture and decorative items. The owners are very nice and friendly. There is also a bridal gown shop and Asian video store next to it. Ranch Market owns a large grocery store that sells Asian foods, though in my opinion LeeLee Market in Chandler has a better selection. There are several restaurants and a coffee shop as well. The Golden Buddha is excellent and the wait staff moves fast. During the day, you can order dim sum from carts the wait staff pushes around the dining floor. The food is excellent and you may be able to get a seat overlooking the aforementioned goldfish pond. It's definitely worth a trip.
GfMb2WHPCkUv7RST_L3lqw	Phoenix_AZ AZ Shopping_Centers Shopping Outlet_Stores Chinese Restaurants 5_star	I love visiting the Chinese Cultural Center. There's a really cool replica garden and quite a few restaurants. I'm always drawn to the Ranch Market full of Asian goodies. This market reminds me of the stores I used to frequent in Seattle/Tacoma. I haven't actually eaten at any of the restaurants there yet, but it's coming. What a great place to go check out something different and check out some new foods in the market.
