Country	UN10	UN20	WBGini	WBYear	CIA10	CIAYear	CIAGini	CIAGiniYear
Denmark	8.1	4.3	29.1	2012	12.0	2000 est.	24.8	2011 est.
Djibouti			45.1	2012			40.9	2002
Dominican Republic	25.3	14.3	47.1	2013	18.8	2012	45.7	2012 est.
Ecuador	35.2	17.3	45.4	2014	17.5	2006 Oct.[8]	48.5	2013 Dec.[8]
Egypt	8.0	5.1	30.8	2008	8.0	2000	30.8	2008
El Salvador	38.6	20.9	41.8	2013	55.4	2002	46.9	2007
Equatorial Guinea								
Estonia	10.8	6.4	33.2	2012	11.0	2003	32.9	2013
Ethiopia	6.6	4.3	33.2	2010	6.5	2000	33.0	2011
European Union							30.6	2012 est.
Fiji			42.8	2008				
Finland	5.6	3.8	27.1	2012	5.7	2000	26.8	2008
France	9.1	5.6	33.1	2012	8.3	2004	30.1	2013
Gabon			41.5	2005				
The Gambia	20.2	11.2	47.3	2003	20.6	1998	50.2	1998
Georgia	15.4	8.3	40.0	2013	15.2	2003	46.0	2011
Germany	6.9	4.3	30.1	2011	6.9	2000	27.0	2006
Ghana	14.1	8.4	42.8	2006	13.7	1999	42.3	2012–2013
Greece	10.2	6.2	36.7	2012	10.4	2000 est.	34.4	2013 est.
Guatemala	33.9	20.3	48.7	2014	48.2	2002	55.1	2007
Guinea	10.5	6.6	33.7	2012	21.6	2006	39.4	2007
Guinea-Bissau	19.0	10.3	50.7	2010	84.8	1991		
Guyana			44.5	1998	26.0	1999	44.6	2007
Haiti	54.4	26.6	60.8	2012	68.1	2001	59.2	2001
Honduras	59.4	17.2	50.6	2014	35.2	2003	57.7	2007
Hong Kong	17.8	9.7					53.7	2011
Hungary	5.5	3.8	30.6	2012	5.6	2002	24.7	2009
Iceland			26.9	2012			28.0	2006
India	8.6	5.6	35.1	2011	8.6	2004	35.1	2011
Indonesia	7.8	5.2	35.6	2010	7.9	2002	41.0	2015
Iran	17.2	9.7	37.4	2013	16.9	1998	44.5	2006
Iraq			29.5	2012				
Ireland	9.4	5.6	32.5	2012	9.4	2000	33.9	2010
Israel	13.4	7.9	42.8	2010	11.8	2005	37.6	2012
Italy	11.6	6.5	35.2	2012	11.7	2000	31.9	2012 est.
Jamaica	17.3	9.8	45.5	2004	17.0	2004	45.5	2004
Japan	4.5	3.4	32.1	2008	4.5	1993	37.9	2011
Jordan	11.3	6.9	35.4	2010	11.3	2003	39.7	2007
Kazakhstan	8.5	5.6	26.4	2013	8.0	2004 est.	28.9	2011
Kenya	13.6	8.2	47.7	2005	18.6	2000	42.5	2008 est.
North Korea								
South Korea	7.8	4.7	31.3	2007	5.9	2011	30.2	2013 est.
Kosovo							30	FY 2005/06
Kuwait								
Kyrgyzstan	6.4	4.4	27.4	2012	6.4	2003	33.4	2007
Laos	8.3	5.4	37.9	2012	8.4	2002	36.7	2008
Latvia	11.6	6.8	35.5	2012	11.6	2003	35.2	2010
Lebanon								
Lesotho	39.8	44.2	54.2	2015	48.2	2002 est.	63.2	1995
Liberia	12.8		36.5	2007				
Libya								
Lithuania	10.4	6.3	35.2	2012	10.3	2003	35.5	2009
Luxembourg			34.8	2012	6.8	2000	30.4	2013 est.
Macau							35	2013
Macedonia	12.5	7.5	43.2	2009	12.3	2003	43.6	2013
Madagascar	19.2	11.0	40.6	2010	19.3	2001	47.5	2001
Malawi	10.9	6.7	46.1	2010	11.0	2004	39.0	2004
Malaysia	22.1	12.4	46.3	2009	28.0	2003 est.	46.2	2009
Maldives			36.8	2009			37.4	2004 est.
Mali	12.5	7.6	33.0	2010	12.6	2001	40.1	2001
Malta							27.9	2013
Mauritania	12.0	7.4	37.5	2008	11.8	2000	39.0	2000
Mauritius			35.8	2012			35.9	2012 est.
Mexico	21.6	12.8	48.2	2014	24.6	2004	48.3	2008
Moldova	8.2	5.3	28.5	2013	8.3	2003	33.0	2010
Mongolia	8.2	5.4	33.8	2012	8.2	2002	36.5	2008
Montenegro			33.2	2013			26.2	2013 est.
Morocco	11.7	7.2	40.7	2007	11.9	1999	40.9	2007 est.
Mozambique	18.8	9.9	45.6	2008	18.8	2002	45.6	2008
Myanmar					11.6	1998		
Namibia	106.6	56.1	61.3	2010	129.0	2003	59.7	2010
Nepal	15.8	9.1	32.8	2010	15.6	2004	32.8	2010
Netherlands	9.2	2.5[9]	28.0	2012	9.2	1999	25.1	2013
New Zealand	12.4	6.8	36.2	1997			36.2	1997
Nicaragua	31.0	8.8	47.0	2014	15.4	2001	40.5	2010
Niger	46.0	20.7	31.5	2011	44.3	1995	34.0	2007
Nigeria	17.8	9.7	43.0	2009	17.5	2003	43.7	2003
Norway	6.1	3.9	25.9	2012	6.0	2000	26.8	2010
Oman								
Pakistan	6.5	4.3	29.6	2010	6.6	2002	29.6	FY 2011
Panama	49.9	23.9	50.7	2014	61.4	2003	51.9	2010 est.
Papua New Guinea	23.8	12.6	43.9	2009	23.8	1996	50.9	1996
Paraguay	38.8	25.7	48.3	2013	65.9	2003	53.2	2009
Peru	26.1	15.2	44.1	2014	31.5	2003	45.3	2012
Philippines	15.5	9.3	43.0	2012	15.5	2003	46.0	2012
Poland	8.8	5.6	32.4	2012	8.7	2002	34.1	2009
Portugal	15.0	8.0	36.0	2012	9.2	1995 est.	34.2	2013 est.
Qatar			41.1	2007				
Romania	7.5	4.9	27.3	2012	7.4	2003	27.3	2012
Russia	12.7	7.6	41.6	2012	12.8	2002	42	2012
Rwanda	18.6	9.9	50.8	2011	18.2	2000	46.8	2000
Sao Tome and Principe			30.8	2010				
Saudi Arabia								
Senegal	12.3	7.4	40.3	2011	12.4	2001	40.3	2011
Serbia			29.7	2010			38.7	2014 est.
Seychelles			42.8	2006				
Sierra Leone	87.2	57.6	34.0	2011	87.2	1989	62.9	1989
Singapore	17.7	9.7			17.3	1998	46.4	2014
Slovakia	6.7	4.0	26.1	2012	6.7	1996	25.3	2012
Slovenia	5.9	3.9	25.6	2012	5.9	1998	23.7	2012
Somalia								
South Africa	33.1	17.9	63.4	2011	31.9	2000	62.5	2013 est.
South Sudan			45.5	2009			46.0	2010 est.
Spain	10.3	6.0	35.9	2012	10.2	2000	34.0	2011
Sri Lanka	11.1	6.9	38.6	2012	36.1	FY 2003/04	49.0	2010
St. Lucia			42.6	1995				
Sudan			35.4	2009				
Suriname			57.6	1999				
Swaziland	25.1	13.0	51.5	2010	25.4	2001	50.4	2001
Sweden	6.2	4.0	27.3	2012	6.2	2000	24.9	2013
Switzerland	9.0	5.5	31.6	2012	8.9	2000	28.7	2012 est.
Syria			35.8	2004				
Taiwan					6.1	2002 est.	33.8	2012
Tajikistan	7.8	5.2	30.8	2009	7.8	2003	32.6	2006
Tanzania	9.2	5.8	37.8	2011	9.3	2000	37.6	2007
Thailand	12.6	7.7	39.3	2012	12.4	2002	39.4	2010
Timor-Leste			31.6	2007			31.9	2007 est.
Togo			46.0	2011				
Trinidad and Tobago	12.9	7.6	40.3	1992				
Tunisia	13.4	7.9	35.8	2010	13.7	2000	40.0	2005 est.
Turkey	6.6	4.6	40.2	2012	17.1	2003	40.2	2010
Turkmenistan	12.3	7.7	40.8	1998	12.2	1998	40.8	1998
Uganda	16.6	9.2	42.4	2012	16.4	2002	39.5	2013
Ukraine	5.9	4.1	24.6	2013	7.6	2006	28.2	2009
United Arab Emirates								
United Kingdom	13.8	7.2	32.6	2012	13.6	1999	32.4	2012
United States	15.9	8.4	41.1	2013	15.0	2007 est.	45.0	2007
Uruguay	11.8		41.6	2014	17.9	2003	45.3	2010
Uzbekistan	10.6	6.2	36.7	2003	10.6	2003	36.8	2003
Venezuela	18.8	16.0	46.9	2006	50.3	2003	39.0	2011
Vietnam	6.9	4.9	38.9	2012	10.0	2004	37.6	2008
Palestine			35.5	2009				
Yemen	8.6	5.6	37.7	2005	8.6	2003	37.7	2005
Zambia			55.6	2010			57.5	2010
Zimbabwe			50.1	1995			50.1	2006
